window,series,start_date_D0,end_date_D0,start_date_D6M,end_date_D6M,start_date_D12M,end_date_D12M,vol_ann_%_D0,vol_ann_%_D6M,vol_ann_%_D12M,vol_ann_%_range,vol_ann_%_delta_D0_minus_D6M,vol_ann_%_delta_D0_minus_D12M,max_drawdown_%_D0,max_drawdown_%_D6M,max_drawdown_%_D12M,max_drawdown_%_range,max_drawdown_%_delta_D0_minus_D6M,max_drawdown_%_delta_D0_minus_D12M,pct_neg_months_%_D0,pct_neg_months_%_D6M,pct_neg_months_%_D12M,pct_neg_months_%_range,pct_neg_months_%_delta_D0_minus_D6M,pct_neg_months_%_delta_D0_minus_D12M,worst_month_%_D0,worst_month_%_D6M,worst_month_%_D12M,worst_month_%_range,worst_month_%_delta_D0_minus_D6M,worst_month_%_delta_D0_minus_D12M,sharpe_excess_cdi_D0,sharpe_excess_cdi_D6M,sharpe_excess_cdi_D12M,sharpe_excess_cdi_range,sharpe_excess_cdi_delta_D0_minus_D6M,sharpe_excess_cdi_delta_D0_minus_D12M,sortino_excess_cdi_D0,sortino_excess_cdi_D6M,sortino_excess_cdi_D12M,sortino_excess_cdi_range,sortino_excess_cdi_delta_D0_minus_D6M,sortino_excess_cdi_delta_D0_minus_D12M
20Y,SP500_TR,2006-02-10,2026-02-10,2005-08-10,2025-08-08,2005-02-10,2025-02-10,16.52,16.63,16.58,0.1099999999999994,-0.1099999999999994,-0.0599999999999987,-40.03,-40.03,-40.03,0.0,0.0,0.0,38.59,39.0,39.42,0.8299999999999983,-0.4099999999999966,-0.8299999999999983,-13.49,-13.49,-13.49,0.0,0.0,0.0,0.3892,0.3642,0.328,0.0611999999999999,0.0249999999999999,0.0611999999999999,0.6472,0.6133,0.553,0.0941999999999999,0.0339,0.0941999999999999
25Y,CDI,2001-02-12,2026-02-10,2000-08-10,2025-08-08,2000-02-10,2025-02-10,1.28,1.28,1.3,0.02,0.0,-0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13,0.13,0.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25Y,IBOV,2001-02-12,2026-02-10,2000-08-10,2025-08-08,2000-02-10,2025-02-10,23.25,23.73,23.99,0.7399999999999984,-0.4800000000000004,-0.7399999999999984,-49.59,-51.21,-51.61,2.019999999999996,1.6199999999999974,2.019999999999996,42.86,43.85,44.85,1.990000000000002,-0.990000000000002,-1.990000000000002,-29.9,-29.9,-29.9,0.0,0.0,0.0,0.0464,-0.0028,-0.033,0.0794,0.0491999999999999,0.0794,0.0677,-0.0042,-0.0491,0.1167999999999999,0.0718999999999999,0.1167999999999999
25Y,PA,2001-02-12,2026-02-10,2000-08-10,2025-08-08,2000-02-10,2025-02-10,21.44,21.6,20.69,0.91,-0.1600000000000001,0.75,-44.22,-43.66,-42.6,1.6199999999999974,-0.5600000000000023,-1.6199999999999974,41.86,42.19,39.2,2.989999999999995,-0.3299999999999983,2.6599999999999966,-24.82,-24.67,-24.63,0.1900000000000012,-0.1499999999999985,-0.1900000000000012,0.3203,0.3061,0.3204,0.0143,0.0141999999999999,-0.0001,0.4788,0.4672,0.4733,0.0116,0.0116,0.0055
25Y,PB,2001-02-12,2026-02-10,2000-08-10,2025-08-08,2000-02-10,2025-02-10,22.57,22.6,23.1,0.5300000000000011,-0.0300000000000011,-0.5300000000000011,-52.48,-52.5,-52.28,0.2199999999999988,0.0200000000000031,-0.1999999999999957,38.54,39.87,39.2,1.3299999999999983,-1.3299999999999983,-0.6600000000000037,-27.44,-27.36,-28.25,0.8900000000000006,-0.0800000000000018,0.8099999999999987,0.3057,0.2731,0.2707,0.035,0.0326,0.035,0.4284,0.3867,0.3848,0.0436,0.0417,0.0436
25Y,PC,2001-02-12,2026-02-10,2000-08-10,2025-08-08,2000-02-10,2025-02-10,25.4,25.95,25.92,0.5500000000000007,-0.5500000000000007,-0.5200000000000031,-55.78,-55.35,-55.49,0.4299999999999997,-0.4299999999999997,-0.2899999999999991,41.2,42.52,42.52,1.3200000000000005,-1.3200000000000005,-1.3200000000000005,-32.63,-32.44,-32.47,0.1900000000000048,-0.1900000000000048,-0.1600000000000037,0.3136,0.2955,0.3059,0.0181,0.0181,0.0076999999999999,0.4576,0.4422,0.4578,0.0156,0.0154,-0.0001999999999999
25Y,SP500_PR,2001-02-12,2026-02-10,2000-08-10,2025-08-08,2000-02-10,2025-02-10,16.71,16.82,16.86,0.1499999999999985,-0.1099999999999994,-0.1499999999999985,-50.68,-50.68,-45.82,4.859999999999999,0.0,-4.859999999999999,42.19,41.86,40.86,1.3299999999999983,0.3299999999999983,1.3299999999999983,-13.59,-13.59,-13.49,0.0999999999999996,0.0,-0.0999999999999996,0.0351,0.0266,0.1461,0.1195,0.0085,-0.111,0.0582,0.0442,0.2482,0.204,0.0139999999999999,-0.19
25Y,SP500_TR,2001-02-12,2026-02-10,2000-08-10,2025-08-08,2000-02-10,2025-02-10,16.75,16.87,16.86,0.120000000000001,-0.120000000000001,-0.1099999999999994,-45.82,-45.82,-45.82,0.0,0.0,0.0,41.2,40.86,40.86,0.3400000000000034,0.3400000000000034,0.3400000000000034,-13.49,-13.49,-13.49,0.0,0.0,0.0,0.1463,0.1369,0.1461,0.0094,0.0094,0.0002,0.2469,0.2316,0.2482,0.0166,0.0153,-0.0012999999999999
5Y,CDI,2021-02-10,2026-02-10,2020-08-10,2025-08-08,2020-02-10,2025-02-10,1.01,1.19,1.24,0.2299999999999999,-0.1799999999999999,-0.2299999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07,0.11,0.13,0.06,-0.0399999999999999,-0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5Y,IBOV,2021-02-10,2026-02-10,2020-08-10,2025-08-08,2020-02-10,2025-02-10,17.57,18.27,23.94,6.370000000000001,-0.6999999999999993,-6.370000000000001,-22.29,-22.29,-29.9,7.609999999999999,0.0,7.609999999999999,39.34,45.9,47.54,8.199999999999996,-6.559999999999995,-8.199999999999996,-11.5,-11.5,-29.9,18.4,0.0,18.4,-0.0064,-0.1261,-0.1315,0.1251,0.1196999999999999,0.1251,-0.0113,-0.2441,-0.1677,0.2328,0.2328,0.1563999999999999
5Y,PA,2021-02-10,2026-02-10,2020-08-10,2025-08-08,2020-02-10,2025-02-10,15.56,17.36,20.71,5.15,-1.799999999999999,-5.15,-6.93,-10.75,-22.93,16.0,3.82,16.0,37.7,42.62,42.62,4.919999999999995,-4.919999999999995,-4.919999999999995,-9.35,-7.13,-22.93,15.8,-2.22,13.58,0.5065,0.4114,0.2379,0.2685999999999999,0.0950999999999999,0.2685999999999999,1.0571,1.0252,0.3315,0.7255999999999999,0.0319,0.7255999999999999
5Y,PB,2021-02-10,2026-02-10,2020-08-10,2025-08-08,2020-02-10,2025-02-10,17.37,18.32,22.26,4.890000000000001,-0.9499999999999992,-4.890000000000001,-11.35,-12.83,-26.36,15.01,1.4800000000000004,15.01,32.79,39.34,44.26,11.47,-6.550000000000004,-11.47,-9.89,-8.82,-26.36,17.54,-1.0700000000000005,16.47,0.5478,0.2877,0.1083,0.4394999999999999,0.2600999999999999,0.4394999999999999,0.9399,0.5916,0.139,0.8009,0.3482999999999999,0.8009
5Y,PC,2021-02-10,2026-02-10,2020-08-10,2025-08-08,2020-02-10,2025-02-10,18.35,21.26,27.4,9.049999999999995,-2.91,-9.049999999999995,-11.91,-17.01,-32.31,20.4,5.100000000000001,20.4,39.34,47.54,47.54,8.199999999999996,-8.199999999999996,-8.199999999999996,-9.09,-10.06,-32.31,23.22,0.9700000000000006,23.22,0.4801,0.4308,0.266,0.2141,0.0493,0.2141,0.8777,0.9698,0.3444,0.6254,-0.0920999999999999,0.5333000000000001
5Y,SP500_PR,2021-02-10,2026-02-10,2020-08-10,2025-08-08,2020-02-10,2025-02-10,15.64,15.72,17.64,2.0,-0.08,-2.0,-27.13,-27.13,-27.13,0.0,0.0,0.0,45.9,42.62,39.34,6.559999999999995,3.280000000000001,6.559999999999995,-9.05,-9.05,-9.05,0.0,0.0,0.0,0.0798,0.297,0.5983,0.5185000000000001,-0.2172,-0.5185000000000001,0.1343,0.4964,1.0708,0.9365,-0.3621,-0.9365
5Y,SP500_TR,2021-02-10,2026-02-10,2020-08-10,2025-08-08,2020-02-10,2025-02-10,15.66,15.74,17.67,2.0100000000000016,-0.08,-2.0100000000000016,-26.24,-26.24,-26.24,0.0,0.0,0.0,45.9,42.62,39.34,6.559999999999995,3.280000000000001,6.559999999999995,-8.97,-8.97,-8.97,0.0,0.0,0.0,0.1724,0.3912,0.6854,0.513,-0.2188,-0.513,0.2905,0.6549,1.2301,0.9396,-0.3644,-0.9396
