table,panel,window,series,field,observed,expected,match
T2,D-6m,25Y,Ibovespa (TR),sortino,"-0,004","-0,004",True
T2,D-6m,25Y,Ibovespa (TR),neg,"43,85","43,85",True
T2,D-6m,25Y,Ibovespa (TR),worst,"-29,90","-29,90",True
T2,D-6m,25Y,Ibovespa (TR),best,"17,92","17,92",True
T2,D-6m,25Y,Ibovespa (TR),N,301,301,True
T2,D-6m,25Y,S&P 500 em BRL (PR),vol,"16,82","16,82",True
T2,D-6m,25Y,S&P 500 em BRL (PR),dd,"-50,68","-50,68",True
T2,D-6m,25Y,S&P 500 em BRL (PR),sharpe,"0,027","0,027",True
T2,D-6m,25Y,S&P 500 em BRL (PR),sortino,"0,038","0,038",True
T2,D-6m,25Y,S&P 500 em BRL (PR),neg,"41,86","41,86",True
T2,D-6m,25Y,S&P 500 em BRL (PR),worst,"-13,59","-13,59",True
T2,D-6m,25Y,S&P 500 em BRL (PR),best,"17,63","17,63",True
T2,D-6m,25Y,S&P 500 em BRL (PR),N,301,301,True
T2,D-6m,25Y,S&P 500 em BRL (TR),vol,"16,87","16,87",True
T2,D-6m,25Y,S&P 500 em BRL (TR),dd,"-45,82","-45,82",True
T2,D-6m,25Y,S&P 500 em BRL (TR),sharpe,"0,137","0,137",True
T2,D-6m,25Y,S&P 500 em BRL (TR),sortino,"0,202","0,202",True
T2,D-6m,25Y,S&P 500 em BRL (TR),neg,"40,86","40,86",True
T2,D-6m,25Y,S&P 500 em BRL (TR),worst,"-13,49","-13,49",True
T2,D-6m,25Y,S&P 500 em BRL (TR),best,"17,77","17,77",True
T2,D-6m,25Y,S&P 500 em BRL (TR),N,301,301,True
T2,D-12m,5Y,Portfólio A (TR),vol,"20,71","20,71",True
T2,D-12m,5Y,Portfólio A (TR),dd,"-22,93","-22,93",True
T2,D-12m,5Y,Portfólio A (TR),sharpe,"0,238","0,238",True
T2,D-12m,5Y,Portfólio A (TR),sortino,"0,346","0,346",True
T2,D-12m,5Y,Portfólio A (TR),neg,"42,62","42,62",True
T2,D-12m,5Y,Portfólio A (TR),worst,"-22,93","-22,93",True
T2,D-12m,5Y,Portfólio A (TR),best,"18,11","18,11",True
T2,D-12m,5Y,Portfólio A (TR),N,61,61,True
T2,D-12m,5Y,Portfólio B (TR),vol,"22,26","22,26",True
T2,D-12m,5Y,Portfólio B (TR),dd,"-26,36","-26,36",True
T2,D-12m,5Y,Portfólio B (TR),sharpe,"0,108","0,108",True
T2,D-12m,5Y,Portfólio B (TR),sortino,"0,147","0,147",True
T2,D-12m,5Y,Portfólio B (TR),neg,"44,26","44,26",True
T2,D-12m,5Y,Portfólio B (TR),worst,"-26,36","-26,36",True
T2,D-12m,5Y,Portfólio B (TR),best,"17,28","17,28",True
T2,D-12m,5Y,Portfólio B (TR),N,61,61,True
T2,D-12m,5Y,Portfólio C (TR),vol,"27,40","27,40",True
T2,D-12m,5Y,Portfólio C (TR),dd,"-32,31","-32,31",True
T2,D-12m,5Y,Portfólio C (TR),sharpe,"0,266","0,266",True
T2,D-12m,5Y,Portfólio C (TR),sortino,"0,379","0,379",True
T2,D-12m,5Y,Portfólio C (TR),neg,"47,54","47,54",True
T2,D-12m,5Y,Portfólio C (TR),worst,"-32,31","-32,31",True
T2,D-12m,5Y,Portfólio C (TR),best,"19,93","19,93",True
T2,D-12m,5Y,Portfólio C (TR),N,61,61,True
T2,D-12m,5Y,CDI (TR),vol,"1,24","1,24",True
T2,D-12m,5Y,CDI (TR),dd,"0,00","0,00",True
T2,D-12m,5Y,CDI (TR),sharpe,"0,000","0,000",True
T2,D-12m,5Y,CDI (TR),sortino,"0,000","0,000",True
T2,D-12m,5Y,CDI (TR),neg,"0,00","0,00",True
T2,D-12m,5Y,CDI (TR),worst,"0,13","0,13",True
T2,D-12m,5Y,CDI (TR),best,"1,17","1,17",True
T2,D-12m,5Y,CDI (TR),N,61,61,True
T2,D-12m,5Y,Ibovespa (TR),vol,"23,94","23,94",True
T2,D-12m,5Y,Ibovespa (TR),dd,"-29,90","-29,90",True
T2,D-12m,5Y,Ibovespa (TR),sharpe,"-0,131","-0,131",True
T2,D-12m,5Y,Ibovespa (TR),sortino,"-0,170","-0,170",True
T2,D-12m,5Y,Ibovespa (TR),neg,"47,54","47,54",True
T2,D-12m,5Y,Ibovespa (TR),worst,"-29,90","-29,90",True
T2,D-12m,5Y,Ibovespa (TR),best,"15,90","15,90",True
T2,D-12m,5Y,Ibovespa (TR),N,61,61,True
T2,D-12m,5Y,S&P 500 em BRL (PR),vol,"17,64","17,64",True
T2,D-12m,5Y,S&P 500 em BRL (PR),dd,"-27,13","-27,13",True
T2,D-12m,5Y,S&P 500 em BRL (PR),sharpe,"0,598","0,598",True
T2,D-12m,5Y,S&P 500 em BRL (PR),sortino,"1,042","1,042",True
T2,D-12m,5Y,S&P 500 em BRL (PR),neg,"39,34","39,34",True
T2,D-12m,5Y,S&P 500 em BRL (PR),worst,"-9,05","-9,05",True
T2,D-12m,5Y,S&P 500 em BRL (PR),best,"17,63","17,63",True
T2,D-12m,5Y,S&P 500 em BRL (PR),N,61,61,True
T2,D-12m,5Y,S&P 500 em BRL (TR),vol,"17,67","17,67",True
T2,D-12m,5Y,S&P 500 em BRL (TR),dd,"-26,24","-26,24",True
T2,D-12m,5Y,S&P 500 em BRL (TR),sharpe,"0,685","0,685",True
T2,D-12m,5Y,S&P 500 em BRL (TR),sortino,"1,222","1,222",True
T2,D-12m,5Y,S&P 500 em BRL (TR),neg,"39,34","39,34",True
T2,D-12m,5Y,S&P 500 em BRL (TR),worst,"-8,97","-8,97",True
T2,D-12m,5Y,S&P 500 em BRL (TR),best,"17,77","17,77",True
T2,D-12m,5Y,S&P 500 em BRL (TR),N,61,61,True
T2,D-12m,10Y,Portfólio A (TR),vol,"22,67","22,67",True
T2,D-12m,10Y,Portfólio A (TR),dd,"-34,66","-34,66",True
T2,D-12m,10Y,Portfólio A (TR),sharpe,"0,390","0,390",True
T2,D-12m,10Y,Portfólio A (TR),sortino,"0,613","0,613",True
T2,D-12m,10Y,Portfólio A (TR),neg,"39,67","39,67",True
T2,D-12m,10Y,Portfólio A (TR),worst,"-25,16","-25,16",True
T2,D-12m,10Y,Portfólio A (TR),best,"21,54","21,54",True
T2,D-12m,10Y,Portfólio A (TR),N,121,121,True
T2,D-12m,10Y,Portfólio B (TR),vol,"22,33","22,33",True
T2,D-12m,10Y,Portfólio B (TR),dd,"-32,18","-32,18",True
T2,D-12m,10Y,Portfólio B (TR),sharpe,"0,472","0,472",True
T2,D-12m,10Y,Portfólio B (TR),sortino,"0,707","0,707",True
T2,D-12m,10Y,Portfólio B (TR),neg,"39,67","39,67",True
T2,D-12m,10Y,Portfólio B (TR),worst,"-27,74","-27,74",True
T2,D-12m,10Y,Portfólio B (TR),best,"16,02","16,02",True
T2,D-12m,10Y,Portfólio B (TR),N,121,121,True
T2,D-12m,10Y,Portfólio C (TR),vol,"30,05","30,05",True
T2,D-12m,10Y,Portfólio C (TR),dd,"-41,39","-41,39",True
T2,D-12m,10Y,Portfólio C (TR),sharpe,"0,413","0,413",True
T2,D-12m,10Y,Portfólio C (TR),sortino,"0,648","0,648",True
T2,D-12m,10Y,Portfólio C (TR),neg,"42,98","42,98",True
T2,D-12m,10Y,Portfólio C (TR),worst,"-31,87","-31,87",True
T2,D-12m,10Y,Portfólio C (TR),best,"26,66","26,66",True
T2,D-12m,10Y,Portfólio C (TR),N,121,121,True
T2,D-12m,10Y,CDI (TR),vol,"1,11","1,11",True
T2,D-12m,10Y,CDI (TR),dd,"0,00","0,00",True
T2,D-12m,10Y,CDI (TR),sharpe,"0,000","0,000",True
T2,D-12m,10Y,CDI (TR),sortino,"0,000","0,000",True
T2,D-12m,10Y,CDI (TR),neg,"0,00","0,00",True
T2,D-12m,10Y,CDI (TR),worst,"0,13","0,13",True
T2,D-12m,10Y,CDI (TR),best,"1,21","1,21",True
T2,D-12m,10Y,CDI (TR),N,121,121,True
T2,D-12m,10Y,Ibovespa (TR),vol,"22,03","22,03",True
T2,D-12m,10Y,Ibovespa (TR),dd,"-36,86","-36,86",True
T2,D-12m,10Y,Ibovespa (TR),sharpe,"0,143","0,143",True
T2,D-12m,10Y,Ibovespa (TR),sortino,"0,201","0,201",True
T2,D-12m,10Y,Ibovespa (TR),neg,"42,15","42,15",True
T2,D-12m,10Y,Ibovespa (TR),worst,"-29,90","-29,90",True
T2,D-12m,10Y,Ibovespa (TR),best,"16,97","16,97",True
T2,D-12m,10Y,Ibovespa (TR),N,121,121,True
T2,D-12m,10Y,S&P 500 em BRL (PR),vol,"17,74","17,74",True
T2,D-12m,10Y,S&P 500 em BRL (PR),dd,"-27,13","-27,13",True
T2,D-12m,10Y,S&P 500 em BRL (PR),sharpe,"0,596","0,596",True
T2,D-12m,10Y,S&P 500 em BRL (PR),sortino,"0,980","0,980",True
T2,D-12m,10Y,S&P 500 em BRL (PR),neg,"38,84","38,84",True
T2,D-12m,10Y,S&P 500 em BRL (PR),worst,"-13,59","-13,59",True
T2,D-12m,10Y,S&P 500 em BRL (PR),best,"17,63","17,63",True
T2,D-12m,10Y,S&P 500 em BRL (PR),N,121,121,True
T2,D-12m,10Y,S&P 500 em BRL (TR),vol,"17,79","17,79",True
T2,D-12m,10Y,S&P 500 em BRL (TR),dd,"-26,24","-26,24",True
T2,D-12m,10Y,S&P 500 em BRL (TR),sharpe,"0,696","0,696",True
T2,D-12m,10Y,S&P 500 em BRL (TR),sortino,"1,173","1,173",True
T2,D-12m,10Y,S&P 500 em BRL (TR),neg,"37,19","37,19",True
T2,D-12m,10Y,S&P 500 em BRL (TR),worst,"-13,49","-13,49",True
T2,D-12m,10Y,S&P 500 em BRL (TR),best,"17,77","17,77",True
T2,D-12m,10Y,S&P 500 em BRL (TR),N,121,121,True
T2,D-12m,15Y,Portfólio A (TR),vol,"18,21","18,21",True
T2,D-12m,15Y,Portfólio A (TR),dd,"-30,35","-30,35",True
T2,D-12m,15Y,Portfólio A (TR),sharpe,"0,156","0,156",True
T2,D-12m,15Y,Portfólio A (TR),sortino,"0,229","0,229",True
T2,D-12m,15Y,Portfólio A (TR),neg,"38,67","38,67",True
T2,D-12m,15Y,Portfólio A (TR),worst,"-22,17","-22,17",True
T2,D-12m,15Y,Portfólio A (TR),best,"15,70","15,70",True
T2,D-12m,15Y,Portfólio A (TR),N,181,181,True
T2,D-12m,15Y,Portfólio B (TR),vol,"20,86","20,86",True
T2,D-12m,15Y,Portfólio B (TR),dd,"-31,90","-31,90",True
T2,D-12m,15Y,Portfólio B (TR),sharpe,"0,185","0,185",True
T2,D-12m,15Y,Portfólio B (TR),sortino,"0,261","0,261",True
T2,D-12m,15Y,Portfólio B (TR),neg,"42,54","42,54",True
T2,D-12m,15Y,Portfólio B (TR),worst,"-27,64","-27,64",True
T2,D-12m,15Y,Portfólio B (TR),best,"19,04","19,04",True
T2,D-12m,15Y,Portfólio B (TR),N,181,181,True
T2,D-12m,15Y,Portfólio C (TR),vol,"22,58","22,58",True
T2,D-12m,15Y,Portfólio C (TR),dd,"-39,16","-39,16",True
T2,D-12m,15Y,Portfólio C (TR),sharpe,"0,199","0,199",True
T2,D-12m,15Y,Portfólio C (TR),sortino,"0,283","0,283",True
T2,D-12m,15Y,Portfólio C (TR),neg,"44,75","44,75",True
T2,D-12m,15Y,Portfólio C (TR),worst,"-32,77","-32,77",True
T2,D-12m,15Y,Portfólio C (TR),best,"17,58","17,58",True
T2,D-12m,15Y,Portfólio C (TR),N,181,181,True
T2,D-12m,15Y,CDI (TR),vol,"0,96","0,96",True
T2,D-12m,15Y,CDI (TR),dd,"0,00","0,00",True
T2,D-12m,15Y,CDI (TR),sharpe,"0,000","0,000",True
T2,D-12m,15Y,CDI (TR),sortino,"0,000","0,000",True
T2,D-12m,15Y,CDI (TR),neg,"0,00","0,00",True
T2,D-12m,15Y,CDI (TR),worst,"0,13","0,13",True
T2,D-12m,15Y,CDI (TR),best,"1,21","1,21",True
T2,D-12m,15Y,CDI (TR),N,181,181,True
T2,D-12m,15Y,Ibovespa (TR),vol,"21,12","21,12",True
T2,D-12m,15Y,Ibovespa (TR),dd,"-42,84","-42,84",True
T2,D-12m,15Y,Ibovespa (TR),sharpe,"-0,111","-0,111",True
T2,D-12m,15Y,Ibovespa (TR),sortino,"-0,152","-0,152",True
T2,D-12m,15Y,Ibovespa (TR),neg,"46,41","46,41",True
T2,D-12m,15Y,Ibovespa (TR),worst,"-29,90","-29,90",True
T2,D-12m,15Y,Ibovespa (TR),best,"16,97","16,97",True
T2,D-12m,15Y,Ibovespa (TR),N,181,181,True
T2,D-12m,15Y,S&P 500 em BRL (PR),vol,"16,53","16,53",True
T2,D-12m,15Y,S&P 500 em BRL (PR),dd,"-27,13","-27,13",True
T2,D-12m,15Y,S&P 500 em BRL (PR),sharpe,"0,693","0,693",True
T2,D-12m,15Y,S&P 500 em BRL (PR),sortino,"1,180","1,180",True
T2,D-12m,15Y,S&P 500 em BRL (PR),neg,"35,91","35,91",True
T2,D-12m,15Y,S&P 500 em BRL (PR),worst,"-13,59","-13,59",True
T2,D-12m,15Y,S&P 500 em BRL (PR),best,"17,63","17,63",True
T2,D-12m,15Y,S&P 500 em BRL (PR),N,181,181,True
T2,D-12m,15Y,S&P 500 em BRL (TR),vol,"16,58","16,58",True
T2,D-12m,15Y,S&P 500 em BRL (TR),dd,"-26,24","-26,24",True
T2,D-12m,15Y,S&P 500 em BRL (TR),sharpe,"0,807","0,807",True
T2,D-12m,15Y,S&P 500 em BRL (TR),sortino,"1,413","1,413",True
T2,D-12m,15Y,S&P 500 em BRL (TR),neg,"34,81","34,81",True
T2,D-12m,15Y,S&P 500 em BRL (TR),worst,"-13,49","-13,49",True
T2,D-12m,15Y,S&P 500 em BRL (TR),best,"17,77","17,77",True
T2,D-12m,15Y,S&P 500 em BRL (TR),N,181,181,True
T2,D-12m,20Y,Portfólio A (TR),vol,"19,58","19,58",True
T2,D-12m,20Y,Portfólio A (TR),dd,"-39,85","-39,85",True
T2,D-12m,20Y,Portfólio A (TR),sharpe,"0,225","0,225",True
T2,D-12m,20Y,Portfólio A (TR),sortino,"0,323","0,323",True
T2,D-12m,20Y,Portfólio A (TR),neg,"39,42","39,42",True
T2,D-12m,20Y,Portfólio A (TR),worst,"-24,45","-24,45",True
T2,D-12m,20Y,Portfólio A (TR),best,"16,48","16,48",True
T2,D-12m,20Y,Portfólio A (TR),N,241,241,True
T2,D-12m,20Y,Portfólio B (TR),vol,"21,76","21,76",True
T2,D-12m,20Y,Portfólio B (TR),dd,"-45,69","-45,69",True
T2,D-12m,20Y,Portfólio B (TR),sharpe,"0,261","0,261",True
T2,D-12m,20Y,Portfólio B (TR),sortino,"0,367","0,367",True
T2,D-12m,20Y,Portfólio B (TR),neg,"39,83","39,83",True
T2,D-12m,20Y,Portfólio B (TR),worst,"-27,64","-27,64",True
T2,D-12m,20Y,Portfólio B (TR),best,"17,73","17,73",True
T2,D-12m,20Y,Portfólio B (TR),N,241,241,True
T2,D-12m,20Y,Portfólio C (TR),vol,"25,41","25,41",True
T2,D-12m,20Y,Portfólio C (TR),dd,"-49,73","-49,73",True
T2,D-12m,20Y,Portfólio C (TR),sharpe,"0,242","0,242",True
T2,D-12m,20Y,Portfólio C (TR),sortino,"0,355","0,355",True
T2,D-12m,20Y,Portfólio C (TR),neg,"44,40","44,40",True
T2,D-12m,20Y,Portfólio C (TR),worst,"-31,74","-31,74",True
T2,D-12m,20Y,Portfólio C (TR),best,"24,57","24,57",True
T2,D-12m,20Y,Portfólio C (TR),N,241,241,True
T2,D-12m,20Y,CDI (TR),vol,"1,04","1,04",True
T2,D-12m,20Y,CDI (TR),dd,"0,00","0,00",True
T2,D-12m,20Y,CDI (TR),sharpe,"0,000","0,000",True
T2,D-12m,20Y,CDI (TR),sortino,"0,000","0,000",True
T2,D-12m,20Y,CDI (TR),neg,"0,00","0,00",True
T2,D-12m,20Y,CDI (TR),worst,"0,13","0,13",True
T2,D-12m,20Y,CDI (TR),best,"1,65","1,65",True
T2,D-12m,20Y,CDI (TR),N,241,241,True
T2,D-12m,20Y,Ibovespa (TR),vol,"22,14","22,14",True
T2,D-12m,20Y,Ibovespa (TR),dd,"-49,59","-49,59",True
T2,D-12m,20Y,Ibovespa (TR),sharpe,"0,017","0,017",True
T2,D-12m,20Y,Ibovespa (TR),sortino,"0,024","0,024",True
T2,D-12m,20Y,Ibovespa (TR),neg,"43,57","43,57",True
T2,D-12m,20Y,Ibovespa (TR),worst,"-29,90","-29,90",True
T2,D-12m,20Y,Ibovespa (TR),best,"16,97","16,97",True
T2,D-12m,20Y,Ibovespa (TR),N,241,241,True
T2,D-12m,20Y,S&P 500 em BRL (PR),vol,"16,54","16,54",True
T2,D-12m,20Y,S&P 500 em BRL (PR),dd,"-44,45","-44,45",True
T2,D-12m,20Y,S&P 500 em BRL (PR),sharpe,"0,211","0,211",True
T2,D-12m,20Y,S&P 500 em BRL (PR),sortino,"0,318","0,318",True
T2,D-12m,20Y,S&P 500 em BRL (PR),neg,"41,08","41,08",True
T2,D-12m,20Y,S&P 500 em BRL (PR),worst,"-13,59","-13,59",True
T2,D-12m,20Y,S&P 500 em BRL (PR),best,"17,63","17,63",True
T2,D-12m,20Y,S&P 500 em BRL (PR),N,241,241,True
T2,D-12m,20Y,S&P 500 em BRL (TR),vol,"16,58","16,58",True
T2,D-12m,20Y,S&P 500 em BRL (TR),dd,"-40,03","-40,03",True
T2,D-12m,20Y,S&P 500 em BRL (TR),sharpe,"0,328","0,328",True
T2,D-12m,20Y,S&P 500 em BRL (TR),sortino,"0,507","0,507",True
T2,D-12m,20Y,S&P 500 em BRL (TR),neg,"39,42","39,42",True
T2,D-12m,20Y,S&P 500 em BRL (TR),worst,"-13,49","-13,49",True
T2,D-12m,20Y,S&P 500 em BRL (TR),best,"17,77","17,77",True
T2,D-12m,20Y,S&P 500 em BRL (TR),N,241,241,True
T2,D-12m,25Y,Portfólio A (TR),vol,"20,69","20,69",True
T2,D-12m,25Y,Portfólio A (TR),dd,"-42,60","-42,60",True
T2,D-12m,25Y,Portfólio A (TR),sharpe,"0,320","0,320",True
T2,D-12m,25Y,Portfólio A (TR),sortino,"0,479","0,479",True
T2,D-12m,25Y,Portfólio A (TR),neg,"39,20","39,20",True
T2,D-12m,25Y,Portfólio A (TR),worst,"-24,63","-24,63",True
T2,D-12m,25Y,Portfólio A (TR),best,"19,18","19,18",True
T2,D-12m,25Y,Portfólio A (TR),N,301,301,True
T2,D-12m,25Y,Portfólio B (TR),vol,"23,10","23,10",True
T2,D-12m,25Y,Portfólio B (TR),dd,"-52,28","-52,28",True
T2,D-12m,25Y,Portfólio B (TR),sharpe,"0,271","0,271",True
T2,D-12m,25Y,Portfólio B (TR),sortino,"0,390","0,390",True
T2,D-12m,25Y,Portfólio B (TR),neg,"39,20","39,20",True
T2,D-12m,25Y,Portfólio B (TR),worst,"-28,25","-28,25",True
T2,D-12m,25Y,Portfólio B (TR),best,"21,35","21,35",True
T2,D-12m,25Y,Portfólio B (TR),N,301,301,True
T2,D-12m,25Y,Portfólio C (TR),vol,"25,92","25,92",True
T2,D-12m,25Y,Portfólio C (TR),dd,"-55,49","-55,49",True
T2,D-12m,25Y,Portfólio C (TR),sharpe,"0,306","0,306",True
T2,D-12m,25Y,Portfólio C (TR),sortino,"0,454","0,454",True
T2,D-12m,25Y,Portfólio C (TR),neg,"42,52","42,52",True
T2,D-12m,25Y,Portfólio C (TR),worst,"-32,47","-32,47",True
T2,D-12m,25Y,Portfólio C (TR),best,"21,89","21,89",True
T2,D-12m,25Y,Portfólio C (TR),N,301,301,True
T2,D-12m,25Y,CDI (TR),vol,"1,30","1,30",True
T2,D-12m,25Y,CDI (TR),dd,"0,00","0,00",True
T2,D-12m,25Y,CDI (TR),sharpe,"0,000","0,000",True
T2,D-12m,25Y,CDI (TR),sortino,"0,000","0,000",True
T2,D-12m,25Y,CDI (TR),neg,"0,00","0,00",True
T2,D-12m,25Y,CDI (TR),worst,"0,13","0,13",True
T2,D-12m,25Y,CDI (TR),best,"2,08","2,08",True
T2,D-12m,25Y,CDI (TR),N,301,301,True
T2,D-12m,25Y,Ibovespa (TR),vol,"23,99","23,99",True
T2,D-12m,25Y,Ibovespa (TR),dd,"-51,61","-51,61",True
T2,D-12m,25Y,Ibovespa (TR),sharpe,"-0,033","-0,033",True
T2,D-12m,25Y,Ibovespa (TR),sortino,"-0,045","-0,045",True
T2,D-12m,25Y,Ibovespa (TR),neg,"44,85","44,85",True
T2,D-12m,25Y,Ibovespa (TR),worst,"-29,90","-29,90",True
T2,D-12m,25Y,Ibovespa (TR),best,"17,92","17,92",True
T2,D-12m,25Y,Ibovespa (TR),N,301,301,True
T2,D-12m,25Y,S&P 500 em BRL (PR),vol,"16,82","16,82",True
T2,D-12m,25Y,S&P 500 em BRL (PR),dd,"-50,68","-50,68",True
T2,D-12m,25Y,S&P 500 em BRL (PR),sharpe,"0,036","0,036",True
T2,D-12m,25Y,S&P 500 em BRL (PR),sortino,"0,052","0,052",True
T2,D-12m,25Y,S&P 500 em BRL (PR),neg,"41,86","41,86",True
T2,D-12m,25Y,S&P 500 em BRL (PR),worst,"-13,59","-13,59",True
T2,D-12m,25Y,S&P 500 em BRL (PR),best,"17,63","17,63",True
T2,D-12m,25Y,S&P 500 em BRL (PR),N,301,301,True
T2,D-12m,25Y,S&P 500 em BRL (TR),vol,"16,86","16,86",True
T2,D-12m,25Y,S&P 500 em BRL (TR),dd,"-45,82","-45,82",True
T2,D-12m,25Y,S&P 500 em BRL (TR),sharpe,"0,146","0,146",True
T2,D-12m,25Y,S&P 500 em BRL (TR),sortino,"0,217","0,217",True
T2,D-12m,25Y,S&P 500 em BRL (TR),neg,"40,86","40,86",True
T2,D-12m,25Y,S&P 500 em BRL (TR),worst,"-13,49","-13,49",True
T2,D-12m,25Y,S&P 500 em BRL (TR),best,"17,77","17,77",True
T2,D-12m,25Y,S&P 500 em BRL (TR),N,301,301,True
T3A,Painel A,5Y,Portfólio A (TR),D0,"7,90","7,90",True
T3A,Painel A,5Y,Portfólio A (TR),D-6m,"6,71","6,71",True
T3A,Painel A,5Y,Portfólio A (TR),D-12m,"3,19","3,19",True
T3A,Painel A,5Y,Portfólio A (TR),amplitude,"4,71","4,71",True
T3A,Painel A,5Y,Portfólio B (TR),D0,"9,46","9,46",True
T3A,Painel A,5Y,Portfólio B (TR),D-6m,"4,26","4,26",True
T3A,Painel A,5Y,Portfólio B (TR),D-12m,"-0,07","-0,07",True
T3A,Painel A,5Y,Portfólio B (TR),amplitude,"9,53","9,53",True
T3A,Painel A,5Y,Portfólio C (TR),D0,"8,47","8,47",True
T3A,Painel A,5Y,Portfólio C (TR),D-6m,"8,30","8,30",True
T3A,Painel A,5Y,Portfólio C (TR),D-12m,"3,91","3,91",True
T3A,Painel A,5Y,Portfólio C (TR),amplitude,"4,56","4,56",True
T3A,Painel A,10Y,Portfólio A (TR),D0,"15,06","15,06",True
T3A,Painel A,10Y,Portfólio A (TR),D-6m,"6,70","6,70",True
T3A,Painel A,10Y,Portfólio A (TR),D-12m,"7,35","7,35",True
T3A,Painel A,10Y,Portfólio A (TR),amplitude,"8,36","8,36",True
T3A,Painel A,10Y,Portfólio B (TR),D0,"17,02","17,02",True
T3A,Painel A,10Y,Portfólio B (TR),D-6m,"9,48","9,48",True
T3A,Painel A,10Y,Portfólio B (TR),D-12m,"9,41","9,41",True
T3A,Painel A,10Y,Portfólio B (TR),amplitude,"7,61","7,61",True
T3A,Painel A,10Y,Portfólio C (TR),D0,"16,87","16,87",True
T3A,Painel A,10Y,Portfólio C (TR),D-6m,"8,90","8,90",True
T3A,Painel A,10Y,Portfólio C (TR),D-12m,"9,28","9,28",True
T3A,Painel A,10Y,Portfólio C (TR),amplitude,"7,97","7,97",True
T3A,Painel A,15Y,Portfólio A (TR),D0,"3,01","3,01",True
T3A,Painel A,15Y,Portfólio A (TR),D-6m,"1,69","1,69",True
T3A,Painel A,15Y,Portfólio A (TR),D-12m,"1,48","1,48",True
T3A,Painel A,15Y,Portfólio A (TR),amplitude,"1,53","1,53",True
T3A,Painel A,15Y,Portfólio B (TR),D0,"4,64","4,64",True
T3A,Painel A,15Y,Portfólio B (TR),D-6m,"2,69","2,69",True
T3A,Painel A,15Y,Portfólio B (TR),D-12m,"2,00","2,00",True
T3A,Painel A,15Y,Portfólio B (TR),amplitude,"2,64","2,64",True
T3A,Painel A,15Y,Portfólio C (TR),D0,"2,91","2,91",True
T3A,Painel A,15Y,Portfólio C (TR),D-6m,"2,03","2,03",True
T3A,Painel A,15Y,Portfólio C (TR),D-12m,"2,25","2,25",True
T3A,Painel A,15Y,Portfólio C (TR),amplitude,"0,88","0,88",True
T3A,Painel A,20Y,Portfólio A (TR),D0,"2,26","2,26",True
T3A,Painel A,20Y,Portfólio A (TR),D-6m,"2,63","2,63",True
T3A,Painel A,20Y,Portfólio A (TR),D-12m,"2,95","2,95",True
T3A,Painel A,20Y,Portfólio A (TR),amplitude,"0,69","0,69",True
T3A,Painel A,20Y,Portfólio B (TR),D0,"4,49","4,49",True
T3A,Painel A,20Y,Portfólio B (TR),D-6m,"4,59","4,59",True
T3A,Painel A,20Y,Portfólio B (TR),D-12m,"3,87","3,87",True
T3A,Painel A,20Y,Portfólio B (TR),amplitude,"0,72","0,72",True
T3A,Painel A,20Y,Portfólio C (TR),D0,"2,63","2,63",True
T3A,Painel A,20Y,Portfólio C (TR),D-6m,"3,35","3,35",True
T3A,Painel A,20Y,Portfólio C (TR),D-12m,"3,44","3,44",True
T3A,Painel A,20Y,Portfólio C (TR),amplitude,"0,81","0,81",True
T3A,Painel A,25Y,Portfólio A (TR),D0,"5,44","5,44",True
T3A,Painel A,25Y,Portfólio A (TR),D-6m,"5,12","5,12",True
T3A,Painel A,25Y,Portfólio A (TR),D-12m,"5,34","5,34",True
T3A,Painel A,25Y,Portfólio A (TR),amplitude,"0,32","0,32",True
T3A,Painel A,25Y,Portfólio B (TR),D0,"5,16","5,16",True
T3A,Painel A,25Y,Portfólio B (TR),D-6m,"4,31","4,31",True
T3A,Painel A,25Y,Portfólio B (TR),D-12m,"4,26","4,26",True
T3A,Painel A,25Y,Portfólio B (TR),amplitude,"0,90","0,90",True
T3A,Painel A,25Y,Portfólio C (TR),D0,"5,60","5,60",True
T3A,Painel A,25Y,Portfólio C (TR),D-6m,"5,11","5,11",True
T3A,Painel A,25Y,Portfólio C (TR),D-12m,"5,42","5,42",True
T3A,Painel A,25Y,Portfólio C (TR),amplitude,"0,49","0,49",True
T3B,Painel B,5Y,A/B/C,rank_D0,B>C>A,B>C>A,True
T3B,Painel B,5Y,A/B/C,rank_D6M,C>A>B,C>A>B,True
T3B,Painel B,5Y,A/B/C,rank_D12M,C>A>B,C>A>B,True
T3B,Painel B,5Y,A/B/C,stable,Não,Não,True
T3B,Painel B,10Y,A/B/C,rank_D0,B>C>A,B>C>A,True
T3B,Painel B,10Y,A/B/C,rank_D6M,B>C>A,B>C>A,True
T3B,Painel B,10Y,A/B/C,rank_D12M,B>C>A,B>C>A,True
T3B,Painel B,10Y,A/B/C,stable,Sim,Sim,True
T3B,Painel B,15Y,A/B/C,rank_D0,B>A>C,B>A>C,True
T3B,Painel B,15Y,A/B/C,rank_D6M,B>C>A,B>C>A,True
T3B,Painel B,15Y,A/B/C,rank_D12M,C>B>A,C>B>A,True
T3B,Painel B,15Y,A/B/C,stable,Não,Não,True
T3B,Painel B,20Y,A/B/C,rank_D0,B>C>A,B>C>A,True
T3B,Painel B,20Y,A/B/C,rank_D6M,B>C>A,B>C>A,True
T3B,Painel B,20Y,A/B/C,rank_D12M,B>C>A,B>C>A,True
