table,panel,window,series,field,observed,expected,match
T1,Painel B,15Y,S&P 500 em BRL (PR),mult_15Y,"17,59","17,59",True
T1,Painel B,20Y,S&P 500 em BRL (PR),mult_20Y,"12,39","12,39",True
T1,Painel B,25Y,S&P 500 em BRL (PR),mult_25Y,"13,22","13,22",True
T1,Painel B,5Y,S&P 500 em BRL (PR),cagr_5Y,"13,90","13,90",True
T1,Painel B,10Y,S&P 500 em BRL (PR),cagr_10Y,"16,82","16,82",True
T1,Painel B,15Y,S&P 500 em BRL (PR),cagr_15Y,"21,11","21,11",True
T1,Painel B,20Y,S&P 500 em BRL (PR),cagr_20Y,"13,44","13,44",True
T1,Painel B,25Y,S&P 500 em BRL (PR),cagr_25Y,"10,90","10,90",True
T1,Painel B,5Y,S&P 500 em BRL (TR),mult_5Y,"2,06","2,06",True
T1,Painel B,10Y,S&P 500 em BRL (TR),mult_10Y,"5,63","5,63",True
T1,Painel B,15Y,S&P 500 em BRL (TR),mult_15Y,"23,35","23,35",True
T1,Painel B,20Y,S&P 500 em BRL (TR),mult_20Y,"18,25","18,25",True
T1,Painel B,25Y,S&P 500 em BRL (TR),mult_25Y,"21,10","21,10",True
T1,Painel B,5Y,S&P 500 em BRL (TR),cagr_5Y,"15,63","15,63",True
T1,Painel B,10Y,S&P 500 em BRL (TR),cagr_10Y,"18,91","18,91",True
T1,Painel B,15Y,S&P 500 em BRL (TR),cagr_15Y,"23,42","23,42",True
T1,Painel B,20Y,S&P 500 em BRL (TR),cagr_20Y,"15,66","15,66",True
T1,Painel B,25Y,S&P 500 em BRL (TR),cagr_25Y,"13,00","13,00",True
T1,Painel C,5Y,Portfólio A (TR),mult_5Y,"1,75","1,75",True
T1,Painel C,10Y,Portfólio A (TR),mult_10Y,"4,55","4,55",True
T1,Painel C,15Y,Portfólio A (TR),mult_15Y,"4,62","4,62",True
T1,Painel C,20Y,Portfólio A (TR),mult_20Y,"11,83","11,83",True
T1,Painel C,25Y,Portfólio A (TR),mult_25Y,"51,28","51,28",True
T1,Painel C,5Y,Portfólio A (TR),cagr_5Y,"12,00","12,00",True
T1,Painel C,10Y,Portfólio A (TR),cagr_10Y,"16,63","16,63",True
T1,Painel C,15Y,Portfólio A (TR),cagr_15Y,"10,93","10,93",True
T1,Painel C,20Y,Portfólio A (TR),cagr_20Y,"13,39","13,39",True
T1,Painel C,25Y,Portfólio A (TR),cagr_25Y,"17,37","17,37",True
T1,Painel C,5Y,Portfólio B (TR),mult_5Y,"1,51","1,51",True
